id	name	category	price	originalPrice	link	description	badge	storage	SKU1	Color1	Imagen1	Hex1	SKU2	Color2	Imagen2	Hex2	SKU3	Color3	Imagen3	Hex3	SKU4	Color4	Imagen4	Hex4	SKU5	Color5	Imagen5	Hex5
1	Galaxy Z Fold7	smartphones	19866	0	https://samsung.com.bo/smartphones/galaxy-z-fold7	Diseño ultra delgado 8.9mm, Cámara 200MP, Snapdragon 8 Elite y Galaxy AI.		["512 GB", "RAM 12GB"]	SM-F966BDBKCHO	Azul Metálico	https://samsung-bolivia.s3.amazonaws.com/product-family-item-image-image/square/product-family-item-image-image_REVFsxTyaj9XMYmDK7Qf.png	#3c5b8a																
2	Galaxy Z Flip7	smartphones	10511	0	https://samsung.com.bo/smartphones/galaxy-z-flip7	Cámara 50 MP, batería 4300 mAh, pantalla 2600 nits y FlexWindow.		["256 GB", "RAM 12GB"]	SM-F766BDBJCHO	Azul Metálico	https://samsung-bolivia.s3.amazonaws.com/product-family-item-image-image/square/product-family-item-image-image_musoL4rQiqzg7KPlpEtb.png	#8d93a4																
3	Galaxy Z Fold 5	smartphones	16286	0	https://samsung.com.bo/smartphones/galaxy-z-fold5	La potencia de una PC, ahora, en tu bolsillo.		["256 GB", "RAM 12GB"]	SM-F946BZEKBVO	Crema	https://samsung-bolivia.s3.amazonaws.com/product-family-item-image-image/square/product-family-item-image-image_W9PG0iuCOkq34SbraYcn.png	#f8f4eb																
4	Galaxy Z Fold 5	smartphones	16690	0	https://samsung.com.bo/smartphones/galaxy-z-fold5	La potencia de una PC, ahora, en tu bolsillo.		["512 GB", "RAM 12GB"]	SM-F946BZEKBVO	Crema	https://samsung-bolivia.s3.amazonaws.com/product-family-item-image-image/square/product-family-item-image-image_W9PG0iuCOkq34SbraYcn.png	#f8f4eb																
5	Galaxy S25 Ultra	smartphones	11839	0	https://samsung.com.bo/smartphones/galaxy-s25-ultra	Cámara 200MP + 50MP, Titanio, Snapdragon 8 Elite y bat. 5000 mAh.		["512 GB", "RAM 12GB"]	SM-S938BZTKBVO	Gris	https://samsung-bolivia.s3.amazonaws.com/product-family-item-image-image/square/product-family-item-image-image_qI9E4ZaOzVG1HFbrLPlf.png	#938e8a																
6	Galaxy S25 Ultra	smartphones	10915	0	https://samsung.com.bo/smartphones/galaxy-s25-ultra	Cámara 200MP + 50MP, Titanio, Snapdragon 8 Elite y bat. 5000 mAh.		["256 GB", "RAM 12GB"]	SM-S938BZTKBVO	Gris	https://samsung-bolivia.s3.amazonaws.com/product-family-item-image-image/square/product-family-item-image-image_qI9E4ZaOzVG1HFbrLPlf.png	#938e8a																
7	Galaxy S25+	smartphones	9644	0	https://samsung.com.bo/smartphones/galaxy-s25	Pantalla QHD+ 6.7, batería 4900 mAh, Armor Aluminum y Galaxy AI.		["256 GB", "RAM 12GB"]	SM-S936BZSJBVO	Gris	https://samsung-bolivia.s3.amazonaws.com/product-family-item-image-image/square/product-family-item-image-image_QFnUNhV2vgt5lCTS1jEr.png	#747477																
8	Galaxy S25	smartphones	8258	0	https://samsung.com.bo/smartphones/galaxy-s25	Pantalla FHD+ 6.2, batería 4000 mAh, 12GB RAM y diseño compacto.		["256 GB", "RAM 12GB"]	SM-S931BLBKBVO	Celeste	https://samsung-bolivia.s3.amazonaws.com/product-family-item-image-image/square/product-family-item-image-image_a8UgdYvuW1GTco4Ei0jt.png	#bac3d3																
9	Galaxy-A56 5G	smartphones	4216	0	https://samsung.com.bo/smartphones/galaxy-a/galaxy-a56-5g-awesome-graphite-256gb-sm-a566ezkcbvo	Pantalla Super AMOLED, cuerpo de 7.4mm, Super HDR y marco de aluminio.		["256GB", "RAM 12GB"]	SM-A566EZKCBVO	Grafito	https://samsung-bolivia.s3.amazonaws.com/product-family-item-image-image/square/product-family-item-image-image_gRcO0dDIHaKpQkyrB1Ce.png	#53565a																
10	Galaxy-A56 5G	smartphones	3962	0	https://samsung.com.bo/smartphones/galaxy-a/galaxy-a56-5g-awesome-graphite-256gb-sm-a566ezkcbvo	Pantalla Super AMOLED, cuerpo de 7.4mm, Super HDR y marco de aluminio.		["256GB", "RAM 8GB"]	SM-S731BDBKBVO	Grafito	https://samsung-bolivia.s3.amazonaws.com/product-family-item-image-image/square/product-family-item-image-image_gRcO0dDIHaKpQkyrB1Ce.png	#53565a																
11	Galaxy-A55 5G	smartphones	4158	0	https://samsung.com.bo/smartphones/galaxy-a/galaxy-a55-5g	Pantalla Super AMOLED, cuerpo de 7.4mm, Super HDR y marco de aluminio.		["256GB", "RAM 8GB"]	SM-S731BDBKBVO	Negro	https://samsung-bolivia.s3.amazonaws.com/product-family-item-image-image/square/product-family-item-image-image_PJyW02YS6HQF8Mmhk4TK.png	#000000																
12	Galaxy-A36 5G	smartphones	3361	0	https://samsung.com.bo/smartphones/galaxy-a/galaxy-a36-5g-awesome-black-256gb-sm-a366ezkgbvo	Pantalla 6.7 FHD+ 120Hz (1200 nits), Knox Vault y diseño minimalista.		["256GB", "RAM 8GB"]	SM-A366ELGGBVO	Verde claro	https://samsung-bolivia.s3.amazonaws.com/product-family-item-image-image/square/product-family-item-image-image_6vXGmDeB8ETVyJrIqut3.png	#dfefdb																
13	Galaxy-A35	smartphones	3581	0	https://samsung.com.bo/smartphones/galaxy-a/galaxy-a35-5g	Conoce la brillante pantalla FHD+ Super AMOLED Infinity-O display de 6.6 pulgadas		["256GB", "RAM 8GB"]	SM-A356EZKGBVO	Negro	https://samsung-bolivia.s3.amazonaws.com/product-family-item-image-image/square/product-family-item-image-image_b2BqZAs5agKoxGz7EeOD.png	#2d2926																
14	Galaxy-A26 5G	smartphones	2680	0	https://samsung.com.bo/smartphones/galaxy-a/galaxy-a26-5g-black-256gb-sm-a266mzkhbvo	Pantalla 6.7 Super AMOLED, IP67, Batería 5000mAh y diseño Key Island.		["256GB", "RAM 6GB"]	SM-A266MZKDBVO	Negro	https://samsung-bolivia.s3.amazonaws.com/product-family-item-image-image/square/product-family-item-image-image_CzrmjgMaNsDTUn1v6bcu.png	#2d2926																
15	Galaxy-A26 5G	smartphones	2506	0	https://samsung.com.bo/smartphones/galaxy-a/galaxy-a26-5g-black-256gb-sm-a266mzkhbvo	Pantalla 6.7 Super AMOLED, IP67, Batería 5000mAh y diseño Key Island.		["128 GB", "RAM 6GB"]	SM-A266MZKDBVO	Negro	https://samsung-bolivia.s3.amazonaws.com/product-family-item-image-image/square/product-family-item-image-image_CzrmjgMaNsDTUn1v6bcu.png	#2d2926																
16	Galaxy-A25	smartphones	2287	0	https://samsung.com.bo/smartphones/galaxy-a/galaxy-a25-5g-blue-black-256gb-sm-a256ezkhbvo	Rápido, espacioso y poderoso. Todo lo que necesitas para hacer más		["128 GB", "RAM 6GB"]	SM-A256EZKHBVO	Azul Oscuro	https://samsung-bolivia.s3.amazonaws.com/product-family-item-image-image/original/product-family-item-image-image_2fFTNI7g9YcGVydKMDP3.png	#3f4251																
17	Galaxy-A17	smartphones	2333	0	https://samsung.com.bo/smartphones/galaxy-a/galaxy-a17-black-128gb-sm-a175fzkgbvo	Diseño moderno, cámara principal 50MP y batería de 5000mAh para todo el día.		["256GB", "RAM 8GB"]	SM-A175FZKGBVO	Negro	https://samsung-bolivia.s3.amazonaws.com/product-family-item-image-image/square/product-family-item-image-image_plKXQsWNif5GCyvtuD8S.png	#404145																
18	Galaxy-A17	smartphones	1906	0	https://samsung.com.bo/smartphones/galaxy-a/galaxy-a17-black-128gb-sm-a175fzkgbvo	Diseño moderno, cámara principal 50MP y batería de 5000mAh para todo el día.		["128 GB","RAM 6GB"]	SM-A175FZKGBVO	Negro	https://samsung-bolivia.s3.amazonaws.com/product-family-item-image-image/square/product-family-item-image-image_plKXQsWNif5GCyvtuD8S.png	#404145																
19	Galaxy-A16	smartphones	2056	0	https://samsung.com.bo/smartphones/galaxy-a/galaxy-a16-black-128gb-sm-a165mzkgbvo	Pantalla 6.7 FHD+ sAMOLED, 6 actualizaciones de seguridad y diseño ultra delgado.		["256 GB"]	SM-A165MLGIBVO	Light Green	https://samsung-bolivia.s3.amazonaws.com/product-family-item-image-image/square/product-family-item-image-image_XdSCZYtRWLMcFa3QbyPH.png	#c0cdc4																
20	Galaxy-A16	smartphones	1813	0	https://samsung.com.bo/smartphones/galaxy-a/galaxy-a16-black-128gb-sm-a165mzkgbvo	Pantalla 6.7 FHD+ sAMOLED, 6 actualizaciones de seguridad y diseño ultra delgado.		["128 GB"]	SM-A165MLGIBVO	Light Green	https://samsung-bolivia.s3.amazonaws.com/product-family-item-image-image/square/product-family-item-image-image_XdSCZYtRWLMcFa3QbyPH.png	#c0cdc4																
21	Galaxy-A06	smartphones	1259	0	https://samsung.com.bo/smartphones/galaxy-a/galaxy-a06	Pantalla 6.7, Cámara 50MP, Carga rápida 25W y lector de huella lateral.		["128 GB","RAM 6GB"]	SM-A065MZKDBVO	Negro	https://samsung-bolivia.s3.amazonaws.com/product-family-item-image-image/square/product-family-item-image-image_q2igFyLm8vBEX07xUAGu.png	#484d57																
22	Galaxy-A06	smartphones	1155	0	https://samsung.com.bo/smartphones/galaxy-a/galaxy-a06	Pantalla 6.7, Cámara 50MP, Carga rápida 25W y lector de huella lateral.		["64 GB","RAM 4GB"]	SM-A065MZKDBVO	Negro	https://samsung-bolivia.s3.amazonaws.com/product-family-item-image-image/square/product-family-item-image-image_q2igFyLm8vBEX07xUAGu.png	#484d57																
23	Galaxy-A05s	smartphones	1398	0	https://samsung.com.bo/smartphones/galaxy-a/galaxy-a05s-light-violet-128gb-sm-a057mlvgltl	El Galaxy A05s: potencia Snapdragon, cámara 50MP y batería 5000 mAh. ¡Estilo y rendimiento accesibles!		["128GB", "RAM 4GB"]	SM-A057MLVGBVO	Violeta	https://samsung-bolivia.s3.amazonaws.com/product-family-item-image-image/square/product-family-item-image-image_HWoSn1O3YCMgQsTl9wib.png	#b4b5df																
24	Galaxy-A05	smartphones	1097	0	https://samsung.com.bo/smartphones/galaxy-a/galaxy-a05-silver-64gb-sm-a055mzsaltm	Pantalla HD+ inmersiva, cámara 50MP y batería 5000 mAh. ¡Esencial, potente y accesible!		["128GB", "RAM 4GB"]	SM-A055MZSABVO	Plata	https://samsung-bolivia.s3.amazonaws.com/product-family-item-image-image/square/product-family-item-image-image_H4yrzjgaoxPnts8SOGup.png	#cbc6c4																
25	Galaxy-A05	smartphones	959	0	https://samsung.com.bo/seriegalaxya	Pantalla HD+ inmersiva, cámara 50MP y batería 5000 mAh. ¡Esencial, potente y accesible!		["64GB", "RAM 4GB"]	SM-A055MZSABVO	Plata	https://samsung-bolivia.s3.amazonaws.com/product-family-item-image-image/square/product-family-item-image-image_H4yrzjgaoxPnts8SOGup.png	#cbc6c4																
